Report Name, apple_ads_search_term_impression_share_by_day_merged
Date Range, 2026-01-25 - 2026-02-23
Time Granularity, DAILY
Org Id, 1234
Time Zone, UTC
Currency, USD
Impression Share reports reflect data for campaigns on the App Store only.Impression Share reports reflect data for campaigns on the App Store only.

Day,App Name,App ID,Country or Region,Search Term,Spend,Taps,Installs (Tap-Through),Impressions,Impression Share,Rank,Search Popularity
2026-02-03,NDX AI Shopping Assistant,6738306589,Brazil,farmacia sao joao,0.19,1,1,228,41-50%,1,3
2026-02-04,NDX AI Shopping Assistant,6738306589,Brazil,farmacia sao joao,0.19,1,1,228,41-50%,>5,3
